year,score,votes,budget,gross,runtime,PG,PG-13,R,Action,Adventure,Comedy,Crime,Drama,Horror
1980,8.4,927000.0,19000000.0,46998772.0,146.0,0,0,1,0,0,0,0,1,0
1980,5.8,65000.0,4500000.0,58853106.0,104.0,0,0,1,0,1,0,0,0,0
1980,8.7,1200000.0,18000000.0,538375067.0,124.0,1,0,0,1,0,0,0,0,0
1980,7.7,221000.0,3500000.0,83453539.0,88.0,1,0,0,0,0,1,0,0,0
1980,7.3,108000.0,6000000.0,39846344.0,98.0,0,0,1,0,0,1,0,0,0
1980,6.4,123000.0,550000.0,39754601.0,95.0,0,0,1,0,0,0,0,0,1
1980,7.9,188000.0,27000000.0,115229890.0,133.0,0,0,1,1,0,0,0,0,0
1980,6.8,101000.0,54000000.0,108185706.0,127.0,1,0,0,1,0,0,0,0,0
1980,6.1,18000.0,15000000.0,70687344.0,116.0,1,0,0,1,0,0,0,0,0
1980,7.3,54000.0,5000000.0,30031783.0,109.0,1,0,0,0,1,0,0,0,0
1980,5.3,30000.0,20000000.0,49823037.0,114.0,1,0,0,0,1,0,0,0,0
1980,7.7,49000.0,6000000.0,54766923.0,124.0,0,0,1,0,0,0,0,1,0
1980,7.1,37000.0,6500000.0,31899000.0,104.0,0,0,1,0,0,0,1,0,0
1980,7.2,27000.0,5100000.0,9709597.0,103.0,1,0,0,0,0,0,0,1,0
1980,6.6,21000.0,20000000.0,21202829.0,134.0,0,0,1,0,0,0,0,1,0
1980,6.9,29000.0,10000000.0,103300686.0,109.0,1,0,0,0,0,1,0,0,0
1980,6.8,66000.0,1000000.0,21448782.0,89.0,0,0,1,0,0,0,0,0,1
1980,6.8,26000.0,20000000.0,101300000.0,111.0,0,0,1,0,0,1,0,0,0
1980,6.5,20000.0,11000000.0,19814523.0,102.0,0,0,1,0,0,0,1,0,0
1980,6.8,14000.0,44000000.0,3484523.0,219.0,0,0,1,0,1,0,0,0,0
1980,6.7,22000.0,12000000.0,16647800.0,103.0,1,0,0,1,0,0,0,0,0
1980,6.4,14000.0,20000000.0,46918287.0,132.0,1,0,0,0,0,0,0,1,0
1980,6.9,33000.0,20000000.0,19853892.0,102.0,0,0,1,0,0,0,0,0,1
1980,6.5,5100.0,20000000.0,34326249.0,96.0,0,0,1,0,0,1,0,0,0
1980,5.0,4100.0,36000000.0,19739822.5,115.0,1,0,0,1,0,0,0,0,0
1980,7.2,17000.0,9000000.0,37121708.0,131.0,0,0,1,0,0,0,1,0,0
1980,6.2,22000.0,4800000.0,22743674.0,117.0,0,0,1,0,0,0,1,0,0
1980,7.1,8900.0,20000000.0,22482952.0,102.0,1,0,0,0,0,1,0,0,0
1980,5.4,16000.0,20000000.0,14796236.0,92.0,0,0,1,0,0,0,0,0,1
1980,5.3,15000.0,20000000.0,66132626.0,100.0,1,0,0,1,0,0,0,0,0
1980,6.1,604.0,5100000.0,534816.0,97.0,1,0,0,0,0,0,0,1,0
1980,6.7,9100.0,20000000.0,43995918.0,102.0,1,0,0,0,0,1,0,0,0
1980,6.2,24000.0,10000000.0,69847348.0,109.0,0,0,1,0,0,1,0,0,0
1980,6.3,4300.0,4000000.0,10000000.0,91.0,0,0,1,0,0,1,0,0,0
1980,6.0,11000.0,3000000.0,6342668.0,101.0,0,0,1,0,0,1,0,0,0
1980,5.9,4000.0,20000000.0,27118000.0,115.0,1,0,0,0,0,0,0,1,0
1980,7.9,13000.0,20000000.0,19739822.5,107.0,1,0,0,0,0,0,0,1,0
1980,7.1,9000.0,3500000.0,7063886.0,131.0,0,0,1,1,0,0,0,0,0
1980,4.8,2000.0,20000000.0,8415112.0,101.0,0,0,1,0,0,0,0,0,1
1980,6.1,12000.0,20000000.0,41675194.0,99.0,0,0,1,0,0,1,0,0,0
1980,5.3,3900.0,22000000.0,15716828.0,109.0,0,0,1,1,0,0,0,0,0
1980,4.6,3900.0,300000.0,19739822.5,82.0,0,0,1,0,0,0,0,0,1
1980,5.1,3100.0,15000000.0,14662035.0,94.0,1,0,0,1,0,0,0,0,0
1980,7.3,22000.0,10000000.0,10389003.0,89.0,1,0,0,0,0,1,0,0,0
1980,6.8,4500.0,7000000.0,4309490.0,95.0,0,0,1,0,0,1,0,0,0
1980,6.1,11000.0,6500000.0,24265659.0,116.0,1,0,0,1,0,0,0,0,0
1980,7.0,6700.0,20000000.0,12516.0,139.0,0,0,1,0,0,1,0,0,0
1980,6.7,2900.0,20000000.0,19739822.5,91.0,1,0,0,0,0,1,0,0,0
1980,4.6,2600.0,20000000.0,3763988.0,121.0,1,0,0,1,0,0,0,0,0
1980,5.4,2400.0,6000000.0,6216067.0,103.0,1,0,0,0,0,1,0,0,0
1980,5.1,5200.0,4000000.0,18971000.0,103.0,0,0,1,1,0,0,0,0,0
1980,6.7,1900.0,20000000.0,14287755.0,123.0,1,0,0,0,0,0,0,1,0
1980,5.5,875.0,20000000.0,19739822.5,91.0,0,0,1,0,0,1,0,0,0
1980,6.3,1400.0,20000000.0,17815212.0,119.0,1,0,0,0,0,0,0,1,0
1980,7.3,2800.0,20000000.0,3910019.0,103.0,1,0,0,0,0,0,0,1,0
1980,6.3,2000.0,20000000.0,7653061.0,93.0,1,0,0,0,0,1,0,0,0
1980,8.1,12000.0,900000.0,19739822.5,150.0,1,0,0,0,0,1,0,0,0
1980,5.1,2000.0,20000000.0,10697276.0,100.0,1,0,0,0,0,1,0,0,0
1980,6.6,915.0,20000000.0,9870727.0,86.0,0,0,1,0,0,1,0,0,0
1980,6.0,1500.0,20000000.0,15934737.0,98.0,1,0,0,0,0,1,0,0,0
1980,4.7,1800.0,20000000.0,14155617.0,103.0,1,0,0,0,0,1,0,0,0
1980,5.5,965.0,20000000.0,5215015.0,97.0,1,0,0,0,0,1,0,0,0
1980,5.2,1100.0,20000000.0,4226370.0,106.0,1,0,0,0,0,1,0,0,0
1980,5.5,585.0,20000000.0,2086905.0,112.0,0,0,1,0,0,1,0,0,0
1980,6.3,1400.0,20000000.0,6321392.0,103.0,1,0,0,0,0,1,0,0,0
1980,5.9,415.0,5500000.0,4400000.0,115.0,0,0,1,0,0,1,0,0,0
